,TITLE,ANIME_TITLE,IMAGE,AUDIO
56,空色デイズ,天元突破グレンラガン OP,http://is1.mzstatic.com/image/thumb/Music/v4/43/69/f6/4369f6e0-2203-8ec4-d77b-a70fa638400b/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/94/43/61/944361df-92d5-9b95-63fa-93b5ee840579/mzaf_1923524349019902389.plus.aac.p.m4a
57,名前のない怪物,PSYCHO-PASS サイコパス ED,http://is1.mzstatic.com/image/thumb/Music/v4/a7/df/5d/a7df5dfd-ddf5-e907-c828-2e49a5ac5d44/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/a0/25/54/a0255496-6302-f863-69e6-3691e29c7f7f/mzaf_8255437048899619329.plus.aac.p.m4a
58,ソラのパレード,GRANBLUE FANTASY The Animation ED,http://is2.mzstatic.com/image/thumb/Music111/v4/44/e0/43/44e0437e-49fb-77d7-3535-d1bfa72ffa12/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview122/v4/b3/96/de/b396de22-0baa-8de9-4cb6-8b27ef784950/mzaf_4649613315749740054.plus.aac.p.m4a
59,鳥の詩,AIR OP,http://is2.mzstatic.com/image/thumb/Music4/v4/a4/98/d8/a498d86b-4636-7bef-9492-6f0a907d7f1b/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview128/v4/4b/c0/33/4bc033a3-3b6a-6df3-9d81-8aaa9f51d85f/mzaf_8071478579310070881.plus.aac.p.m4a
60,海色,艦隊これくしょん -艦これ- OP,http://is3.mzstatic.com/image/thumb/Music5/v4/f6/4b/97/f64b97a4-b477-ddf2-5d5f-4f4c61fe9f2e/source/100x100bb.jpg,http://a1261.phobos.apple.com/us/r30/Music3/v4/93/54/bb/9354bbd7-cedc-98e9-8e3b-a91983071bef/mzaf_1608129038468262833.plus.aac.p.m4a
61,サヨナラノツバサ ~ the end of triangle,劇場版マクロスF IN,http://is3.mzstatic.com/image/thumb/Music/v4/d5/ea/67/d5ea67aa-085c-80cf-9f63-61994db59a7e/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/08/3b/b1/083bb16d-b311-dcc6-0cfe-c2dbd2a351e6/mzaf_8284398264895078988.plus.aac.p.m4a
62,Brave Shine,Fate/stay night [Unlimited Blade Works] OP,http://is5.mzstatic.com/image/thumb/Music7/v4/4f/ab/b2/4fabb2a4-58ef-69ca-5782-539995df2b1a/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music1/v4/22/36/bf/2236bfee-9c8a-3162-d9cb-469c80affa17/mzaf_3908627317619783052.plus.aac.p.m4a
63,LAYon-theLINE,賭ケグルイ ED,http://is3.mzstatic.com/image/thumb/Music118/v4/0e/11/a7/0e11a73f-49a5-5e27-f766-c8b8157fde82/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview118/v4/46/5a/dd/465addee-805f-ded9-3745-a760ae04d534/mzaf_8514238490990395947.plus.aac.p.m4a
64,MEMORIA,Fate/Zero ED,http://is2.mzstatic.com/image/thumb/Music/v4/ab/05/12/ab0512b7-8c05-ebb8-1e30-047e68383380/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview71/v4/71/39/06/713906eb-31e8-9635-d3af-4e6c5ac4bbdc/mzaf_3977141918292486193.plus.aac.p.m4a
65,Crow Song,Angel Beats! IN,http://is2.mzstatic.com/image/thumb/Music/v4/0c/c5/41/0cc541b6-3fe2-1505-32be-e184d5978025/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/5b/6e/df/5b6edffc-9a3a-a075-3540-6111462082bf/mzaf_7830734821458495233.plus.aac.p.m4a
66,ダイヤモンドクレバス,マクロスF IN,http://is3.mzstatic.com/image/thumb/Music/v4/77/f2/13/77f213ec-ffd1-5812-07f1-2dd11f0079bc/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/d1/81/02/d181022b-88e4-dd96-d57c-c3aaec21e237/mzaf_3095392999757225504.plus.aac.p.m4a
67,カラフル,劇場版 魔法少女まどか☆マギカ[新編] 叛逆の物語 OP,http://is4.mzstatic.com/image/thumb/Music4/v4/7c/d9/11/7cd91131-15d5-a757-175a-b39f5a489dc8/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview71/v4/87/2b/27/872b27ac-5f9b-1d0e-9477-9b289a94d32e/mzaf_5365270119697150929.plus.aac.p.m4a
68,Climber’s High!,風夏 OP,http://is1.mzstatic.com/image/thumb/Music122/v4/a5/75/7d/a5757d80-3eda-7478-cb9c-83d5d7d26482/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview111/v4/9c/9e/ec/9c9eece8-7298-ea7c-cf91-c56c7c6ac4b2/mzaf_9203953320619107187.plus.aac.p.m4a
69,secret base 〜君がくれたもの〜（10 years after Ver.）,あの日見た花の名前を僕達はまだ知らない。 ED,http://is1.mzstatic.com/image/thumb/Music/v4/15/4a/21/154a21ca-494c-5682-7630-f5b9ffb7c9f1/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/v4/00/01/c6/0001c637-b5ee-7310-681b-8356c0ada6ea/mzaf_2055470937499153389.plus.aac.p.m4a
70,恋愛サーキュレーション,化物語 OP,http://is4.mzstatic.com/image/thumb/Music6/v4/e1/f9/79/e1f979d4-27a4-5304-e426-3fd3129269ef/source/100x100bb.jpg,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview71/v4/62/1d/8f/621d8f03-0875-4489-9935-303f5163ec9f/mzaf_9052417947129796495.plus.aac.p.m4a
